ID,Short Name,Run IDs,Vs30,Depth 2.5 km/sec,Vs30 Type,Depth 1.0 km/sec,Source ID,Rup ID,DistanceJB,DistanceRup,DistanceSeis,DistanceX,mean (CB2008),std. dev. (CB2008),mean (Boore2008),std. dev. (Boore2008),mean (CY2008),std. dev. (CY2008),mean (AS2008),std. dev. (AS2008)
18,USC,"747,778,801,827,930,983",280.0,3.874125,Inferred,575.8070068359375,79,0,75.30275212638456,75.30290408685386,75.83904739841611,-61.03405904158739,-2.7236400535879164,0.6427943789333364,-2.8090672905249447,0.7,-2.886556785535616,0.6725950509747125,-2.58087592441361,0.6580351792347625
19,PAS,"748,785",748.0,0.30839474487304686,Inferred,8.46961498260498,79,0,60.0223572934156,60.022547939625476,60.5315680240668,-43.42041621268189,-3.739376422878094,0.6431617214977894,-3.384749236281863,0.7,-3.7454214936210724,0.6804549031023791,-3.4178341291348566,0.6586835355464717
20,LADT,"749,831",390.0,2.613642578125,Inferred,305.8071594238281,79,0,71.33032296608515,71.33048338930706,71.86159632110079,-56.570640958581244,-3.1344341347557867,0.6431412119460942,-3.030285051480666,0.7,-3.371690974750349,0.6761145545012249,-2.9582788468596757,0.6586438010768958
21,LBP,750,236.0,2.31894775390625,Inferred,421.5738525390625,79,0,87.99571888717098,87.99584892809555,88.59037221519556,-84.12907018838929,-2.8904580489271274,0.6426813733484142,-2.7388634494584765,0.7,-3.038385151754628,0.6711819738320316,-2.813895990243088,0.6577409147344364
22,WNGC,"751,781,811,823,829",280.0,2.805896240234375,Inferred,504.44607543945307,79,0,56.35454057895388,56.354743633266196,56.942699668838806,-49.23412214178517,-2.6947547460404717,0.6427413293919915,-2.617836085715789,0.7,-2.7685659522855106,0.6714847391706602,-2.4652275672391566,0.6578781019216361
23,SABD,752,280.0,2.36867041015625,Inferred,364.7810363769531,79,0,68.90223823332086,68.90240430977354,69.52282327864872,-68.90202617092487,-2.8442842390829033,0.6428036069626294,-2.748666330137864,0.7,-3.0628315569610542,0.672271094018122,-2.752917391745794,0.6579902997482336
24,SBSM,"753,782,810",280.0,1.824324951171875,Inferred,325.2884521484375,79,0,11.38219383391622,11.383199136404391,12.32775105344003,-11.378041739296537,-1.5464040519597464,0.6419022827148028,-1.6931359359172429,0.7,-1.5929370819546098,0.6647775389973671,-1.7170939532246887,0.6563696132311544
25,FFI,754,390.0,4.94453857421875,Inferred,89.78324127197266,79,0,87.95855621675591,87.95868631262296,88.30062653394175,-39.75480518185273,-2.924126677217325,0.6431407610706521,-3.183486129647056,0.7,-3.5122333093855764,0.676542629099279,-3.4746314577960553,0.6586497108509931
26,CCP,755,387.0,3.22153369140625,Inferred,381.51092529296875,79,0,84.48385005352768,84.48398550005288,84.98120854561596,-63.06564303062244,-3.203523813812264,0.6431376895780253,-3.1477768842496756,0.7,-3.4623304806410347,0.6763908251632892,-2.9821784192570386,0.6586378027640266
27,SMCA,756,387.0,2.479776611328125,Inferred,526.83056640625,79,0,92.8864553410822,92.88657853499102,93.38679553911926,-70.85948754112827,-3.325897928017368,0.6431401020837012,-3.219019643468161,0.7,-3.355593897122529,0.6765784283734568,-2.9223343180175574,0.6586410308171032
28,PTWN,215,748.0,0.0,Inferred,0.0,79,0,23.67737783853591,27.008765086752096,27.008765086752096,27.415661356422003,-3.2150023759782114,0.6431617214977894,-2.788583688487721,0.7,-3.049401950613032,0.6801166436093019,-2.8266905863309595,0.6586835355464717
29,PERR,"216,758",748.0,0.0,Inferred,0.0,79,0,35.94868459960207,35.94900291451578,36.62671882162381,-35.94830353486208,-3.4500804389049833,0.6431617214977894,-3.0467204253318605,0.7,-3.3242692162332985,0.6802482343855999,-3.094462653873954,0.6586835355464717
30,GAVI,"217,759",748.0,0.0,Inferred,0.0,79,0,42.31684260270281,42.31711301551798,42.975668651487034,-42.31512218635864,-3.571221223103561,0.6431617214977894,-3.1513396455982137,0.7,-3.466071259416859,0.6803178004874101,-3.1969805735980623,0.6586835355464717
31,MBRD,"218,760,783",387.0,0.3061561279296875,Inferred,150.0,79,0,25.190869916346557,25.19132416623809,25.927965976908848,-25.189698127441833,-2.56368397582952,0.6431025089067651,-2.3450443834101606,0.7,-2.5065584165814396,0.6733008989394578,-2.5389675987475195,0.6585715486514118
32,PEDL,"219,761,834,875,932",748.0,0.3061571044921875,Inferred,150.0,79,0,26.483309350195828,26.483741432138455,27.21287014576697,-26.482429421779994,-3.132685875649458,0.6431617214977894,-2.856580998975478,0.7,-3.101731546025649,0.6801156777304673,-2.7974657496941657,0.6586835355464717
33,LBUT,"220,762",748.0,0.0,Inferred,0.0,79,0,39.558334345559,40.51859870776298,40.52731408878052,15.352925169775212,-3.5343558760948026,0.6431617214977894,-3.1078064330523696,0.7,-3.4271596934301565,0.6802986568394165,-3.169638377413089,0.6586835355464717
34,ALIS,"221,763,876,933",748.0,0.0,Inferred,0.0,79,0,50.88588922269276,50.88611409894016,51.169283419112695,-13.463287264518497,-3.708602742081937,0.6431617214977894,-3.2727511419154927,0.7,-3.618011783071179,0.6803925951596121,-3.3133420740001753,0.6586835355464717
35,PACI,"222,764,784",748.0,0.0,Inferred,0.0,79,0,39.037806662338056,39.03809978869723,39.42244154960501,-15.586101767346301,-3.511262499310984,0.6431617214977894,-3.099301683612589,0.7,-3.3967046930333096,0.6802836960001175,-3.1462271020476003,0.6586835355464717
36,SLVW,"223,765,901,950",748.0,0.0,Inferred,0.0,79,0,3.7524424442137976,7.5198159387022585,7.715724237498032,7.611720552847744,-2.2670276086911203,0.6431617214977894,-1.8311082991145553,0.7,-2.043797425971871,0.6797253028603123,-1.819254321844046,0.6586835355464717
37,ALP,"224,856,923,953",354.0,0.0,Inferred,0.0,79,0,79.9673723201904,79.96751541658746,80.04562464665258,3.5872739503823086,-3.4424257819266755,0.6430701566575083,-3.0422019487980423,0.7,-3.313573238125971,0.6753901945903189,-3.6008680411851097,0.658498058873324
38,OSI,"225,913,966",390.0,0.30704888916015627,Inferred,301.09075927734375,79,0,112.45436817463195,112.45446993188787,112.64524729199537,-21.901764044942766,-3.6831968417938774,0.6431480274118981,-3.3740225952210645,0.7,-3.669462564386183,0.6770039096412768,-3.2529018350358005,0.6586566826778998
39,PDE,"226,914,967",455.0,1.891710693359375,Inferred,150.0,79,0,95.6373950556412,95.63751470597185,95.91548442784635,-32.60238822695665,-3.4784519320381553,0.6431617214977894,-3.3594751671633833,0.7,-3.696707021271496,0.6779765235035695,-3.430969947233758,0.6586835355464717
40,MOP,"227,909,964",349.0,2.317824951171875,Inferred,300.07830810546875,79,0,124.43038592392585,124.43047788738627,124.78134708100575,-62.35553022614747,-3.461998154856317,0.6430875340565804,-3.3755286188015043,0.7,-3.6397010618978367,0.6762616252254106,-3.271871885351801,0.6585464790587804
41,LGU,"228,382,642,656,664,665,737,908,960,963",390.0,0.30588656616210935,Inferred,300.036865234375,79,0,141.22029778213567,141.22037881191676,141.62380704805966,-86.21992258326235,-3.8542921612721472,0.6431504132765734,-3.5638518222445983,0.7,-3.8148266384358887,0.6774101914617752,-3.3990038638954316,0.6586630780674781
42,WSS,"229,921,974",390.0,2.6350205078125,Inferred,85.74756622314453,79,0,102.27708172403806,102.27719360684354,102.69186720450647,-61.9343161286625,-3.4042322907109908,0.6431464964834908,-3.298886398606524,0.7,-3.609247046837543,0.6768297301096978,-3.58248410925846,0.6586536588239172
43,HLL,"230,905,959",280.0,1.1223736572265626,Inferred,320.9423828125,79,0,75.95770363108782,75.95785428126817,76.40901807789903,-48.872728654685226,-2.9169161527545073,0.6428306932106232,-2.8150494755323865,0.7,-3.137063028340853,0.6726259219994577,-2.876445372394964,0.6580394084777921
44,LGB,"231,907,962",280.0,4.502671875,Inferred,717.0183715820312,79,0,66.89992908088387,66.90010012797805,67.48128514586809,-59.37915124653074,-2.5243641744221956,0.6427342437291164,-2.7289846277431233,0.7,-2.6841088447411607,0.6721604708713331,-2.3933086194234265,0.657974781953891
45,COO,232,280.0,4.596244140625,Inferred,706.7113037109375,79,0,77.11134646111651,77.111494857463,77.6928475691047,-70.04659938480285,-2.6150028687256652,0.642776985474013,-2.8255033295115535,0.7,-2.788017390183926,0.6726793682031155,-2.490516509364531,0.6580467093578782
